Study_ID,Study_Year,Country,Region,Land_Use_Change,Covariates,Sampling_Design,Exclosure_Treatments,Function_Methods,Land.use.Source,Citations,DOI
bomm01,2007,sweden,uppsala,no,NA,2 pitfall traps for 2 periods of 2 weeks in 1 to 5 sampling points per site,NA,"Aphid predation rate on aphids cards: 2 rounds, 9 cards per farm, 3 aphids per card, check after 2 days",CORINE (Europe),"Geiger, F., Bengtsson, J., Berendse, F., Weisser, W.W., Emmerson, M., Morales, M.B., Ceryngier, P., Liira, J., Tscharntke, T., Winqvist, C. and Eggers, S. 2010. Persistent negative effects of pesticides on biodiversity and biological control potential on European farmland. Basic and Applied Ecology 11: 97-105.",51234c94-2117-4653-98ae-1eee987f3fe5
brew01,2005,united states,"midwest, 4 states",NA,"soybean nutrients, habitat diversity","in each soybean feld, four random locations selected for aphid, plant nutrient, and aphid natural enemy sampling, locations were at least 10 m away from field edges",no exclosures,"abundance of aphids and natural enemies compared across time, At each
location, 10 soybean plants were visually inspected for
soybean aphid. Actual number of aphids was counted
up to 200 individuals per plant. When the aphid
count exceeded 200, it was estimated using a series
of count ranges: 201-500, 501-1,000, 1,001-5,000,
and 5,001-10,000. To sample aphid natural enemies, soybean plants were clipped at the
base of the stem and placed in a paper bag (30 by 18
by 42.5 cm), brought to lab, and contents placed in emergence canisters. The number of plants collected per location
varied as plants grew, from 20 (early season) to
3 (late season). Before bagging, lady beetle larvae and
adults were counted and removed from plant cuttings
to prevent them from feeding on other aphid enemies",Cropland Data Layer (United States),"(1) Noma, T., and M. J. Brewer. 2008. Seasonal abundance of resident parasitoids and predatory flies and corresponding soybean aphid mortality, with comments on classical biological control of soybean aphid in the US Midwest. J. Econ. Entomol. 101: 278-287; (2) Noma, T., C. Gratton, M. Colunga-Garcia, M. J. Brewer, E. E. Mueller, K. A. G. Wyckhuys, G. E. Heimpel, and M. E. O'Neal. 2010. Relationship of soybean aphid (Hemiptera: Aphididae) to soybean plant nutrients, landscape structure, and natural enemies. Environ. Entomol. 39: 31-41.

",fc573550-5239-4956-84d6-1ce26ba7f9b9
caba01,2007,sweden,scania,no,Cover of crop species and weed species,"In each crop field, two 100m transect parallel to field edge, one 3 m from the first drill row and the other 30 m further into the field were aphid and natural enemies populations were assessed. Aphid mummies were taken to the laboratory for rearing and identification of parasitoid sepcies","We did exclosure treatments in 2 of the 12 study sites, but as 8 was the minimum we didn't include those data. The treatments were open, flying predators and parasitoids exclusion, ground-dwelling exclusion, totally closed. 4 treatments, 6 replicates for each tratment. ","Pest-herbivor density, parasitism, predators and parsitoids abundance",CORINE (Europe),"Caballero-López, B., Bommarco, R., Blanco-Moreno, J.M., Sans, F.X., Pujade-Villar, J., Rundlöf, M., Smith, H.G. 2012. Aphids and their natural enemies are differently affected by habitat features at local and landscape scales. Biological Control 63:222-229",1816bd25-5c59-43bb-8f1e-7a906f4fe023
carr01,2007-2000,united states,cotton fields located in fresno and san joaquin valleys in an area of about 2000 km square,no,yes,"Sampled cotton fields were divided in four quadrants with each
quadrant sampled weekly. Samples were collected starting at least
25 m inside each quadrant and consisted of 100 sweeps. 
 The number of adults from the 400 sweeps was recorded for each week and field.",NA,Population density of pest was estimated in fields with sweepnets,Cropland Data Layer (United States),"Carrière, Y., Goodell, P. B., Ellers-Kirk, C., Larocque, G., Dutilleul, P., Naranjo, S. E., and Ellsworth, P. C. 2012. Effects of local and landscape factors on population dynamics of a cotton pest. PLoS One. 7: e39862. DOI:10.1371/journal.pone.0039862",ec01bbcd-717e-4ff5-8854-47d8e3d4eb3b
carv01,2009,south africa,limpopo province,no,No,"In each sunflower farm (some with several fields), up to 7 study sites (4 x 4 m, sunflower density of 10 plants m-2) were selected at different distances from natural habitat). Plots were at least 350 m away from the nearest neighbouring plot and 600 m away from any water body, and were planted with one of five hybrid
sunflower cultivars widely used in South Africa for oil production. ","In each site
up to 20 sunflower heads were selected, half of which were left open
and helf were isolated from any insect visitation by
covering with a white nylon mesh bag (c. 1 mm mesh width) before
any floret opened. All bags were removed at the end of the flowering season, and the number of catterpilars foraging per sunflower head were counted and taken to lab conditions for rearing and parasitism assessment. Some sunflower heads were broken and were excluded from the experiment or, for heads with no exclosure, replaced by the sunflower imediatly adjacent.
","All bags were removed at the end of the flowering season, and the number of catterpilars foraging per sunflower head were counted and taken to lab conditions for rearing and parasitism assessment. We then calculated number of catterpilars per sunflower head; and number of caterpillars parasitized. Sixty days later, when seeds had reached maturity, seed set was
assessed. As sunflower are valued by farmers in terms of seed mass
or oil content (also proportional to seed mass), seed mass (i.e. weight)
was used as a measure of productivity. ",Author contribution,Unpublished,b70a8c3f-7049-4b5b-9c4c-6d954654011e
chap01,2006-2008,united states,california,no,presence of weedy mustard habitat; local diversity,"In each crop field, 10 plants were collected along 1 transect from field edge to field center 4-6 times at weekly intervals (as few as 3 or as many as 8, due to farmer miscalculation of when harvest would occur, and wanting to sample up until harvest)",NA,NA,Author contribution; Cropland Data Layer (United States),"Chaplin-Kramer, R., De Valpine, P., Mills, N. J. and Kremen, C. (2013). Detecting pest control services across spatial and temporal scales. Agric. Ecosyst. Environ. 181: 206-212.",733e9107-6f2c-4577-b609-9384f2a814cb
chap02,2006-2008,united states,california,no,presence of weedy mustard habitat; local diversity,"In each crop field, cage experiments were set out at field edge for 12 days; potted plants were inoculated with aphids at beginning of experiment and full plant was harvested at the end to count all insects inhabiting ","each treatment had 2 (in 2009) - 3 (in 2008) replicates of open, closed, and sentinel (open without any aphids) cages with starting numbers of 100 aphids in 2008 and 50 aphids in 2009 (except for sentinels)",proportional reduction in aphid densities was measured as the density of aphids in the open cages/ density of aphids in the closed cages,Author contribution; Cropland Data Layer (United States),"Chaplin-Kramer, R. and Kremen, C. (2012). Pest control experiments show benefits of complexity at landscape and local scales. Ecol. Appl. 22: 1936-48.",62ab53b6-7244-4ec8-af4b-e423a1f347b6
conn01,2012,united states,new york (finger lakes region),no,no,insects were sampled on commercial strawberry farms via vacuum collection along 15m transects 5m from field edge on three occasions (one per week) in June 2012,NA,fruit weights were assessed on a random sampe of 25 fruits per site,Cropland Data Layer (United States),In press,a96f8bab-7e44-4909-93bf-5101629935fe
conn02,2013-2014,united states,new york (finger lakes region),no,no,"field sites are small (10mx10m) experimental plots on commercial farms. All plots were established at the same time with ""Jewel"" variety and are managed similarly. Arthropods were collected by vacuum sampling along 20m transects once in late June 2014. ",NA,fruit weights were assessed on a random sampe of 25 fruits per site,Cropland Data Layer (United States),In press,45442483-31d2-4054-a737-590c3e0e6cf7
conn03,2014,united states,new york (finger lakes region),no,two sites per farm one with a wildflower strip. ,"field sites are small (10mx10m) experimental plots on commercial farms. All plots were established at the same time with ""Jewel"" variety and are managed similarly. Tarnished plant bug nymphs were collected by tapping infloresences over an enamel pan and aspirating all nymphs until 25 nymphs were collected or all inflorescences were sampled. Plots were sampled once early and once late in 2013 and twice early and late in 2014.",NA,fruit weights were assessed on a random sampe of 25 fruits per site,Cropland Data Layer (United States),"McCabe, E., Loeb, G., and H. Grab (2017) Responses of Crop Pests and Natural Enemies to Wildflower Borders Depends on Functional Group. Insects 2017, 8(3), 73; doi:10.3390/insects8030073; In review",2114d927-d1ee-4eda-99eb-e3e78830d511
cost01,2009,australia,"lockyer valley, south east queensland",NA,NA,8 sham and 8 exclusion cages sampled after two weeks,"exclusion treatment, n=8",counts of sentinel aphid populations in open versus exclusion cages,Author contribution,"Costamagna, AC, WN Venables, and NA Schellhorn (2015) Landscape-scale pest suppression is mediated by timing of predator arrival. Ecological Applications 25:1114-1130.",a43b60a9-e8cf-4bf9-939d-686f992c9222
cost02,2007,united states,minesotta,NA,NA,"the methods are described in detail in Bannerman et al (in press), J Econ. Ent. we only included here data from whole plant counts, quadrat and sweep-net (attached)",NA,NA,Cropland Data Layer (United States),"(1) Bannerman, JB, McCornack, BP, DW Ragsdale, N Koper, and AC Costamagna (2018) Predators and alate immigration influence the season-long dynamics of soybean aphid (Hemiptera: Aphididae). Biological Control 117: 87-98; (2) Bannerman, JB, Costamagna, AC, BP McCornack, and DW Ragsdale (2015) Comparison of relative bias, precision, and efficiency of sampling methods for natural enemies of soybean aphid (Hemiptera: Aphididae). Journal of Economic Entomology 108: 1381-1397.",9acf6b9b-f7cc-41f0-aea2-644209f7499f
dieh01,2009,germany,hesse,no,"management intensity (tillage, cutting of the vegetation, grazing by cattle, synthetic inputs and organic inputs), vegetation complexity (plant species richness, vegetation height, coverage and density)","At each study site we hand-collected spiders and prey from their webs on three dates between June and August. We used an individual-based approach, i.e. sampling a pre-defined number of individuals, for invertebrate sampling that is often used in aquatic systems (Magurran and McGill 2011). We manually collected 36-60 web-building spiders of unknown developmental stage per site and sampling date. If a minimum number of 40 prey individuals per site and sample date could not be achieved by this procedure, sampling of prey items was extended to additional webs. It was not possible to sample a fixed number of adult spiders and their prey per site, as developmental stages of the spiders often were not identifiable in the field and as the prey items sometimes could not be determined to the order level or turned out to be exuvia. ",No,"Aphids trapped in spider webs were counted. Additionally, aphids were quantified using sticky traps",CORINE (Europe),"Diehl E, Mader VL, Wolters V, Birkhofer K (2013) Management intensity and vegetation complexity affect web-building spiders and their prey. Oecologia 173(2):579-589",ef607015-e81c-4f45-b3fb-e77e3cfc4e5e
dieh02,2013,germany,hesse,no,We analyzed 2 predictor variables: a) proportion of arable crops within 500 m around each site; b) habitat type of study sites (organically managed cereal field vs. flowering field),"At each study site we hand-collected web-building spiders with prey items in their webs at three sampling dates from May to July 2013. Field work was conducted before crop harvest under dry and sunny weather conditions with at least one week in-between sampling dates. Using an individual-based approach, we sampled a pre-defined number of approximately 30 web-building spiders per site and date (cf. Magurran and McGill 2011, see also Diehl et al. 2013). In addition, we collected 33599 surface-dwelling and vegetation-based arthropods by fenced suction sampling (e.g. Bell et al. 2002, Brook et al. 2008) at three randomly chosen sampling points at each site and date. We refer to these arthropods as ‚Äúpotential prey‚Äù below (see Nentwig 1980, 1987, Ludy 2007). Sample areas of 0.07 m2 were delimited by an exclusion barrier of 30 cm diameter at each sampling point during sampling to prevent arthropods from escaping. We used a motor-driven insect suction sampler (‚ÄúecoVac‚Äù, ecoTech Bonn, Germany) with a nozzle of 15 cm diameter adapted to plant height for 60 seconds inside the exclusion barrier; i.e. six subsamples per sampling point with ten seconds each. During sampling the nozzle was placed slightly above soil level and arthropods were caught in bags of fine mesh that were placed into the nozzle. ",No,Pest (focus on aphids) and non-pest prey of web-building spiders were collected and compared to potentially available prey at study sites. ,CORINE (Europe),"Mader V, Birkhofer K, Fiedler D, Thorn S, Wolters V, Diehl E (2016) Land use at different spatial scales alters the functional role of web-building spiders in arthropod food webs. Agriculture, Ecosystems and Environment 219: 152-162.",9e0ec41d-b073-4da4-a757-ae773ecb1687
diekoet01,2007,germany,hesse,no,NA,6 pitfall traps per site active for 14 days in one period (May/June),NA,NA,Author contribution,"Diekotter, T., Wamser, S., Wolters, V. and Birkhofer, K., 2010. Landscape and management effects on structure and function of soil arthropod communities in winter wheat. Agriculture, Ecosystems & Environment, 137(1), pp.108-112.",533964e8-e0f6-48a4-a005-fcad8886b328
entl01,2005,switzerland,central plateau,no,grassy vs. flowering margin,"in each field, 2 transects of 3 traps each, operated twice for 8 days during spring",NA,NA,Author contribution,"Anjum-Zubair M, Schmidt-Entling MH, Querner P & Frank T (2010) Agricultural and Forest Entomology 12: 301-306",17ab08d6-b29c-4260-99fb-e59a89c554f5
entl02,2005,switzerland,central plateau,no,grassy vs. flowering margin,"in each field, 2 transects of 5 traps each, operated twice for 8 days during spring plus suction sampling along the same transects",NA,NA,Author contribution,"Schmidt-Entling MH & Döbeli J (2009) Agriculture, Ecosystems and Environment 133: 19-22.",3ce7737b-4b4c-493e-8d19-635f192a80ef
entl03,2001,germany,"lower saxony, hesse",no,NA,"4 traps per field, operated for 14days during May",NA,NA,Author contribution,"Schmidt MH, Thies C, Nentwig W & Tscharntke T (2008) J Biogeogr 35: 157-166",2ddfb76a-ec91-4f6f-b0a9-a5387d99ac50
entl04,2001,germany,lower saxony,no,NA,web counts with a distance method,NA,NA,Author contribution,Schmidt MH & Tscharntke T (2005) Landscape context of sheetweb spider (Araneae: Linyphiidae) abundance in cereal fields. Journal of Biogeography 32: 467-473.,aa52d981-b3f9-41e8-8258-73e33b6c2a52
fuku01,2014,japan,niigata,no,agricultural practice(conventional or organic),"In each paddy field, 10 sweeps were conducted , covering 120m2, to rice stalk along paddy ridge.",No such treatment,NA,Author contribution,Unknown,ad83cc56-ad97-4a03-9900-b3cbdb128148
gag01,2008,germany,lower saxony,no,Half of the sites are organic and half conventional,"Aphids and parasitised aphids (‚Äò‚Äòmummies‚Äô‚Äô) were counted visually on 100 wheat shoots (five randomly chosen subsamples, with 20 shoots on each sampling occasion) per
field on a weekly basis starting from wheat flowering in June (after the main period of aphid colonisation of the fields) until wheat peak ripening in July (the period of aphid population breakdown). In addition, we randomly collected 100 mummies per field at the same time intervals. Altogether, sampling took place over the course of four seven-day periods.",no,Mortality of aphids due to parasitism was quantified as the ratio of mummified aphids to total aphid counts on plants (including mummies). ,Catchment Scale Land Use Map (Australia),"M. Jankovic, M. Plecas, D. Sandic, A. Popovic, A. Petrovic, O. Petrovic-Obradovic, Z. Tomanovic & V. Gagic (2017) Functional role of different habitat types at local and landscape scales fo r aphids and their natural enemies. J Pest Sci, 90: 261–273.",08464dea-da34-4c92-87c2-0498ab5e669f
garr01,2014,united kingdom,southern england,no,"Soil organic matter, fertiliser manipulations in plots within fields","4 plots within the field were sampled on 3 occasions through the season for aphids. Pitfall traps were placed out once times during the season, one in each plot.",Within each site we had 2 open treatments and two exclosure treatments,50-100 tillers were searched in each of the 4 study plots 3 times during the season.  Pitfalls traps were placed out for 10 days on 1 occassions during the season. Open and exclosure treatments were innoculated with aphids and the starting and final population (after 5 days) was recorded.,CORINE (Europe),"Gagic, V., Kleijn, D., Báldi, A., Boros, G., Jørgensen, H.B., Elek, Z., Garratt, M.P.D., de Groot, G.A., Hedlund, K., Kovács-Hostyánszki, A., Marini, L., Martin, E., Pevere, I., Potts, S.G., Redlich, S., Senapathi, D., Steffan-Dewenter, I., _witek, S., Smith, H.G., Takács, V., Tryjanowski, P., van der Putten, W.H., van Gils, S., Bommarco, R., 2017. Combined effects of agrochemicals and ecosystem services on crop yield across Europe. Ecology Letters 20, 1427-1436.",780a3870-d13f-4131-8d52-b8a8b4d21f65
gont01,2012,mexico,"soconusco region, southern chiapas",no,shade tree density,Rhabdopterus jansoni beetles were collected by sweep netting 15 coffee bushes in transects on two occasions between May and July of 2012 between the hours of 7:00 and 14:00. Each bush received four upward sweeps of the net starting at the base of bush moving upward. We summed the number of R. jansoni per site across both sampling dates.,NA,Abundance of pest was measured across sweep net samples.,Author contribution,"Kuesel R, Gonthier DJ, Cruz L, I Vaidya C, Iverson A, Perfecto I. 2014. Local management and landscape use intensity associated with a coffee leaf-chewing beetle. Agroecology and Sustainable Food Systems 38: 552-540.",453996bd-cc4b-45e4-9405-5638aa3df4e1
gont02,2012,mexico,"soconusco region, southern chiapas",no,no,"Measure of total leafhopper abundance, minor pests of coffee, but some species transmit coffee pathogens. Leafhoppers were collected by sweep netting 15 coffee bushes in transects on two occasions between May and July of 2012 between the hours of 7:00-14:00. Each bush received 4 upward sweeps of the net starting at the base of the bush and moving upward. In addition to sweep netting, we also sampled the leafhopper community by using pan-traps (two white, yellow, and blue pans [350 ml volume bowls] in the center of each site). Three bowls, one of each color, were elevated approximately 15cm above the ground surface and another three bowls were elevated 45cm above the ground, using PVC piping. Pan-traps were filled with a water solution of salt and liquid Dawn dish soap. To make the solution, we mixed 2 kg of table salt and 80 ml of Dawn dish soap dissolved in 20L of water. We opened pan-traps at approximately 8:00 and collected pan-traps at approximately 14:00, maintaining the same order so that all traps were open for roughly the same amount of time.",NA,Abundance of leafhoppers was measured across sweep net samples.,Author contribution,"Vaidya C, Cruz L, Kuesel R, Gonthier DJ, Iverson A, Ennis K, Perfecto I. (In Review) Local and landscape constraints on coffee leafhopper diversity.",9a553fec-9942-4d45-b8b8-209324ec2a57
gont03,2012,mexico,"soconusco region, southern chiapas",no,no,"For each site, we arranged 5 fixed-radius point counts in an x shape (four on the ends and one in the center) and each point count was roughly ~100m apart from one another. We documented all insectivorous birds within a 25m radius of the center of the point for 10 minutes each.The sum of the abundance of insectivorous birds within all 5 point counts per site is presented here for each site.",NA,Abundance of insectivorous birds,Author contribution,Unpublished,e021bac3-a8df-4d90-b479-499c27dce961
haji01,2012,mexico,"soconusco region, southern chiapas",NA,no,"In each site, 3 shade trees were selected. From each tree, we cut 2 braches sampled spider abundance and diversity. All spiders were collected and summed to repersent the abundance given here for 3 trees per site  (6 branches per site).",NA,NA,Author contribution,"Hajian-Forooshani Z, Gonthier DJ, Maron L, Iverson AL, Perfecto I. (2014) Changes in species diversity of arboreal spiders in Mexican coffee agroecosystems: untangling the web of local and landscape influences driving diversity. PeerJ 2:e623ë_https://dx.doi.org/10.7717/peerj.623",89e66747-2f08-4156-998b-8e1d3de33429
heim01,2012-2014,united states,"rosemount, mn",NA,Biofuel planting in the center of soybean field (see attached file),"For all sampling techniques June and July samples are labeled as ‚Äúearly‚Äù, August and September as ‚Äúlate‚Äù. Sweep net sampling - Each sweep sample consists of 20 figure-eight sweep motions with a 38 cm diameter sweep net. 2 sweep samples per plot per sampling period. Sampling periods were roughly on biweekly basis. Number of sampling periods per Seasonality per year: 2012: 4 early, 4 late; 2013: 4 early, 4 late; 2014: 4 early, 3 late. Visual survey of soybean plants in 0.25 m2 ‚Äì Eggs, juvenile and adult stages of selected predatory insect groups were observed on all soybean plants in 0.25 m2 in two location per plot. Sampling periods were on weekly or biweekly basis. Number of sampling periods per Seasonality per year: 2012: 9 early, 8 late; 2013: 5 early, 8 late; 2014: 5 early, 5 late. Visual survey of individual soybean plants ‚Äì Aphids, mummies and predators were observed on individual soybean plants. 8-32 plants were selected per field (more plants earlier in the season). Sampling periods were on roughly weekly basis. Number of sampling periods per Seasonality per year: 2012: 6 early, 7 late; 2013: 5 early, 8 late; 2014: 6 early, 6 late. Exclosure pest density ‚Äì In each plot 6 pairs of caged and uncaged plants were selected. All plants were cleaned and then infested with 25 aphids. After two weeks aphids were counted. Soybean yield ‚Äì Soybean plants were harvested at the end of the season in two row with total area of roughly 30 or 20 m2 per plot.",In each plot 6 pairs of caged and uncaged plants were selected. All plants were cleaned and then infested with 25 aphids. After two weeks aphids were counted.,NA,Cropland Data Layer (United States),Unpublished,a4908fd6-4c97-4ec2-b462-3d46b8b9710e
huse01,2012,united states,central sands potato production region,no,systemic neonicotinoid use is important but all fields received a similar treatment of either imidacloprid or thiamethoxam delivered to the seed piece at planting,"Location of 2012 irrigated potato was determined using a survey of potato producers and crop consultants (N=301 fields). Potato fields were classified into our tri-county vector landuse layer. Irrigated potato fields were extracted and converted from polyline vector edges into 16 equidistantly spaced sample points for each field (N=4816 candidate sample points). From this database of points, 60 random fields were selected and a single random point from the 16 was selected to sample. Each of the sixty points was sampled weekly for four consectutive weeks to determine the colonization intensity of Colorado potato beetle in the at that location.",none,10 random potato plants within 3 meters of the crop edge were counted for L. decemlineata egg masses and adults. Sample sites were counted once weekly for four consecutive weeks from June. Anders Huseth counted  all sample observations in this study.,Author contribution,Unpublished,7a0cfb27-46a9-4d60-8dd0-b28a0d6bb30c
ingr01,2014,united states,"oceana county, michigan",no,boarder habitat,"Each sampling area had 3 colletion transects and were studied for  7 consecutive weeks postharvest. Transects measured 10m x 1m and were paralell to the field edge at 10m into the border habitat, on the field edge, and 20m into the field.  ",N/A,All herbivores and predators were collected within the collection transects using sweep nets (at 40 sweeps/ transect) for canopy arthropods and vacuum collection system (at 5 samples/transect for 10 sec. each sample) for ground level arthropods,Cropland Data Layer (United States),"Ingrao, A.J., Schmidt, J., Jubenville, J., Grode, A., Komondy, L., VanderZee, D. and Szendrei, Z., 2017. Biocontrol on the edge: Field margin habitats in asparagus fields influence natural enemy-pest interactions. Agriculture, Ecosystems & Environment, 243, pp.47-54.",0681ff07-6863-4d66-b4cc-62af8fb14545
